CIK,Company,Type,Date,complete_text_file_link,html_index,Filing Date,Period of Report,SIC,htm_file_link,State of Inc,State location,Fiscal Year End,filename
1131554,SYNCHRONOSS TECHNOLOGIES INC,10-K,2021-03-16,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000012.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000012-index.html,2021-03-16,2020-12-31,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000012/sncr-20201231.htm,,NJ,1231,113155410K2020_https___www.htm
1131554,SYNCHRONOSS TECHNOLOGIES INC,8-K,2021-03-08,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000007.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000007-index.html,2021-03-08,2021-03-08,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000007/sncr-20210308.htm,,NJ,1231,11315548K2021_https___www.htm
1131554,SYNCHRONOSS TECHNOLOGIES INC,8-K,2021-03-10,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000009.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000009-index.html,2021-03-10,2021-03-08,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000009/sncr-20210308.htm,,NJ,1231,11315548K2021_https___www.htm
320340,INTELLIGENT SYSTEMS CORP,10-K,2021-03-04,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-004982.txt,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-004982-index.html,2021-03-04,2020-12-31,7372,https://www.sec.gov/Archives/edgar/data/320340/000143774921004982/ins20201231_10k.htm,GA,GA,1231,32034010K2020_https___www.htm
320340,INTELLIGENT SYSTEMS CORP,8-K,2021-01-11,https://www.sec.gov/Archives/edgar/data/320340/0001171843-21-000192.txt,https://www.sec.gov/Archives/edgar/data/320340/0001171843-21-000192-index.html,2021-01-11,2021-01-11,7372,https://www.sec.gov/Archives/edgar/data/320340/000117184321000192/f8k_010821.htm,GA,GA,1231,3203408K2021_https___www.htm
320340,INTELLIGENT SYSTEMS CORP,8-K,2021-02-11,https://www.sec.gov/Archives/edgar/data/320340/0001171843-21-000948.txt,https://www.sec.gov/Archives/edgar/data/320340/0001171843-21-000948-index.html,2021-02-11,2021-02-11,7372,https://www.sec.gov/Archives/edgar/data/320340/000117184321000948/f8k_021021.htm,GA,GA,1231,3203408K2021_https___www.htm
896878,INTUIT INC,10-Q,2021-02-23,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000059.txt,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000059-index.html,2021-02-23,2021-01-31,7372,https://www.sec.gov/Archives/edgar/data/896878/000089687821000059/intu-20210131.htm,DE,CA,0731,89687810Q2021_https___www.htm
896878,INTUIT INC,8-K,2021-01-22,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000022.txt,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000022-index.html,2021-01-22,2021-01-21,7372,https://www.sec.gov/Archives/edgar/data/896878/000089687821000022/intu-20210121.htm,DE,CA,0731,8968788K2021_https___www.htm
896878,INTUIT INC,8-K,2021-02-09,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000049.txt,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000049-index.html,2021-02-09,2021-02-09,7372,https://www.sec.gov/Archives/edgar/data/896878/000089687821000049/intu-20210209.htm,DE,CA,0731,8968788K2021_https___www.htm
896878,INTUIT INC,8-K,2021-02-23,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000057.txt,https://www.sec.gov/Archives/edgar/data/896878/0000896878-21-000057-index.html,2021-02-23,2021-02-23,7372,https://www.sec.gov/Archives/edgar/data/896878/000089687821000057/intu-20210223.htm,DE,CA,0731,8968788K2021_https___www.htm
1131554,SYNCHRONOSS TECHNOLOGIES INC,10-Q,2021-05-10,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000023.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000023-index.html,2021-05-10,2021-03-31,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000023/sncr-20210331.htm,,NJ,1231,113155410Q2021_https___www.htm
1131554,SYNCHRONOSS TECHNOLOGIES INC,8-K,2021-05-10,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000022.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000022-index.html,2021-05-10,2021-05-10,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000022/sncr-20210510.htm,,NJ,1231,11315548K2021_https___www.htm
1131554,SYNCHRONOSS TECHNOLOGIES INC,8-K,2021-06-16,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000031.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001131554-21-000031-index.html,2021-06-16,2021-06-10,7371,https://www.sec.gov/Archives/edgar/data/1131554/000113155421000031/sncr-20210610.htm,,NJ,1231,11315548K2021_https___www.htm
1131554,SYNCHRONOSS TECHNOLOGIES INC,8-K,2021-06-30,https://www.sec.gov/Archives/edgar/data/1131554/0001104659-21-087598.txt,https://www.sec.gov/Archives/edgar/data/1131554/0001104659-21-087598-index.html,2021-06-30,2021-06-24,7371,https://www.sec.gov/Archives/edgar/data/1131554/000110465921087598/tm2120300d3_8k.htm,,NJ,1231,11315548K2021_https___www.htm
320340,INTELLIGENT SYSTEMS CORP,10-Q,2021-05-04,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-010685.txt,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-010685-index.html,2021-05-04,2021-03-31,7372,https://www.sec.gov/Archives/edgar/data/320340/000143774921010685/ins20210331_10q.htm,GA,GA,1231,32034010Q2021_https___www.htm
320340,INTELLIGENT SYSTEMS CORP,8-K,2021-04-02,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-008067.txt,https://www.sec.gov/Archives/edgar/data/320340/0001437749-21-008067-index.html,2021-04-02,2021-04-01,7372,https://www.sec.gov/Archives/edgar/data/320340/000143774921008067/ins20210325_8k.htm,GA,GA,1231,3203408K2021_https___www.htm
