,cik,date,total revenue,cost of revenue,gross_profit,gross_margin,filenames
0,1001601,ttm,931.0,1003.0,72.0,-0.07733619763694952,1001601_0.csv
1,1001601,12/30/2020,1440.0,1728.0,288.0,-0.2,1001601_0.csv
2,1001601,12/30/2019,450.0,510.0,60.0,-0.13333333333333333,1001601_0.csv
3,1001601,12/30/2018,2030.0,4191.0,2161.0,-1.0645320197044335,1001601_0.csv
4,1013462,ttm,1906715.0,257984.0,1648731.0,0.8646971361739956,1013462_0.csv
5,1013462,12/30/2021,1906715.0,257984.0,1648731.0,0.8646971361739956,1013462_0.csv
6,1013462,12/30/2020,1681297.0,225264.0,1456033.0,0.8660177232220125,1013462_0.csv
7,1013462,12/30/2019,1515892.0,166273.0,1349619.0,0.8903134260224344,1013462_0.csv
8,1013462,12/30/2018,1293636.0,155885.0,1137751.0,0.8794985606461169,1013462_0.csv
9,1013857,ttm,1211653.0,336363.0,875290.0,0.7223932924690485,1013857_0.csv
10,1013857,12/30/2021,1211653.0,336363.0,875290.0,0.7223932924690485,1013857_0.csv
11,1013857,12/30/2020,1017517.0,310913.0,706604.0,0.6944395032220592,1013857_0.csv
12,1013857,12/30/2019,911383.0,310022.0,601361.0,0.6598334618925303,1013857_0.csv
13,1013857,12/30/2018,891581.0,301765.0,589816.0,0.6615394450980898,1013857_0.csv
14,1015739,ttm,16283.0,1260.0,15023.0,0.9226186820610452,1015739_0.csv
15,1015739,12/30/2020,11309.0,810.0,10499.0,0.9283756300291803,1015739_0.csv
16,1015739,12/30/2019,12204.0,1261.0,10943.0,0.8966732218944609,1015739_0.csv
17,1015739,12/30/2018,16131.0,1240.0,14891.0,0.9231293782158576,1015739_0.csv
18,1017655,ttm,14626.0,11172.0,3454.0,0.23615479283467797,1017655_0.csv
19,1017655,12/30/2020,12921.0,9810.0,3111.0,0.24077083817042025,1017655_0.csv
20,1017655,12/30/2019,10548.0,7802.0,2747.0,0.2603337125521426,1017655_0.csv
21,1017655,12/30/2018,9253.0,7062.0,2191.0,0.2367880687344645,1017655_0.csv
22,1019034,ttm,5243.0,1611.0,3632.0,0.6927331680335685,1019034_0.csv
23,1019034,12/30/2020,2837.0,794.826,2042.0,0.7198357419809658,1019034_0.csv
24,1019034,12/30/2019,2268.0,2461.0,193.717,-0.08509700176366843,1019034_0.csv
25,1019034,12/30/2018,4045.0,4164.0,119.648,-0.02941903584672435,1019034_0.csv
26,1019671,ttm,23866.0,10375.0,13491.0,0.5652811531048353,1019671_0.csv
27,1019671,1/30/2021,21999.0,12069.0,9930.0,0.4513841538251739,1019671_0.csv
28,1019671,1/30/2020,67154.0,23652.0,43502.0,0.6477946213181642,1019671_0.csv
29,1019671,1/30/2019,62402.0,25072.0,37330.0,0.5982180058331463,1019671_0.csv
30,1021435,ttm,3517.0,162.8,3355.0,0.9537105487631503,1021435_0.csv
31,1021435,12/30/2020,3644.0,155.0,3489.0,0.9574643249176729,1021435_0.csv
32,1021435,12/30/2019,3530.0,149.8,3380.0,0.9575637393767705,1021435_0.csv
33,1021435,12/30/2018,3153.0,145.8,3008.0,0.9537583254043768,1021435_0.csv
34,1022505,ttm,6.667,0.0,6.667,1.0,1022505_0.csv
35,1022505,9/29/2021,15.417,0.0,15.417,1.0,1022505_0.csv
36,1022505,9/29/2020,47.983,0.0,47.983,1.0,1022505_0.csv
37,1022505,9/29/2019,46.6,0.0,46.6,1.0,1022505_0.csv
38,1022505,9/29/2018,316.248,89.23,227.018,0.717848018011181,1022505_0.csv
39,1023731,ttm,601477.0,240170.0,361307.0,0.6006996111239499,1023731_0.csv
40,1023731,3/30/2021,532344.0,230150.0,302194.0,0.5676667718618037,1023731_0.csv
41,1023731,3/30/2020,446237.0,201228.0,245009.0,0.549055770812371,1023731_0.csv
42,1023731,3/30/2019,352586.0,129972.0,222614.0,0.6313750404156716,1023731_0.csv
43,1023731,3/30/2018,296500.0,71171.0,225329.0,0.7599629005059022,1023731_0.csv
44,1029744,ttm,33255.0,9988.0,23267.0,0.6996541873402495,1029744_0.csv
45,1029744,9/29/2021,35167.0,10294.0,24873.0,0.7072823954275315,1029744_0.csv
46,1029744,9/29/2020,34753.0,9634.0,25119.0,0.7227865220268754,1029744_0.csv
47,1029744,9/29/2019,34781.0,9280.0,25501.0,0.7331876599292717,1029744_0.csv
48,1029744,9/29/2018,34544.0,9656.0,24888.0,0.7204724409448819,1029744_0.csv
49,1031308,ttm,965046.0,216539.0,748507.0,0.7756179498179362,1031308_0.csv
50,1031308,12/30/2021,965046.0,216539.0,748507.0,0.7756179498179362,1031308_0.csv
51,1031308,12/30/2020,801544.0,167155.0,634389.0,0.7914587346421407,1031308_0.csv
52,1031308,12/30/2019,736654.0,144150.0,592504.0,0.8043179022987725,1031308_0.csv
53,1031308,12/30/2018,691710.0,131324.0,560386.0,0.8101458703792052,1031308_0.csv
54,1039280,ttm,58046.0,31031.0,27015.0,0.46540674637356577,1039280_0.csv
55,1039280,6/29/2021,54921.0,28568.0,26353.0,0.4798346716192349,1039280_0.csv
56,1039280,6/29/2020,56372.0,29409.0,26963.0,0.47830483218619174,1039280_0.csv
57,1039280,6/29/2019,67819.0,33374.0,34446.0,0.5078960173402733,1039280_0.csv
58,1039280,6/29/2018,60930.0,31723.0,29207.0,0.4793533563105203,1039280_0.csv
59,1044777,ttm,214481.0,71546.0,142935.0,0.6664226668096475,1044777_0.csv
60,1044777,12/30/2021,214481.0,71546.0,142935.0,0.6664226668096475,1044777_0.csv
61,1044777,12/30/2020,215691.0,63439.0,152252.0,0.7058801711707953,1044777_0.csv
62,1044777,12/30/2019,254570.0,81962.0,172608.0,0.6780374749577719,1044777_0.csv
63,1044777,12/30/2018,212280.0,64813.0,147467.0,0.6946815526662898,1044777_0.csv
64,1046327,ttm,58183.0,13756.0,44427.0,0.7635735524122166,1046327_0.csv
65,1046327,12/30/2021,58183.0,13756.0,44427.0,0.7635735524122166,1046327_0.csv
66,1046327,12/30/2020,68062.0,16465.0,51597.0,0.7580882136875202,1046327_0.csv
67,1046327,12/30/2019,172113.0,103127.0,68986.0,0.4008180672000372,1046327_0.csv
68,1046327,12/30/2018,69510.0,17727.0,51783.0,0.7449719464825205,1046327_0.csv
69,1050446,ttm,510762.0,91909.0,418853.0,0.8200551333106222,1050446_0.csv
70,1050446,12/30/2021,510762.0,91909.0,418853.0,0.8200551333106222,1050446_0.csv
71,1050446,12/30/2020,480735.0,91055.0,389680.0,0.810592114158528,1050446_0.csv
72,1050446,12/30/2019,486327.0,99974.0,386353.0,0.7944304963532767,1050446_0.csv
73,1050446,12/30/2018,497638.0,99499.0,398139.0,0.800057471495344,1050446_0.csv
74,1052054,ttm,27392.0,8887.0,18505.0,0.6755622079439252,1052054_0.csv
75,1052054,12/30/2020,26352.0,8837.0,17515.0,0.6646554341226473,1052054_0.csv
76,1052054,12/30/2019,25750.0,8685.0,17065.0,0.6627184466019418,1052054_0.csv
77,1052054,12/30/2018,30636.0,10349.0,20287.0,0.6621948034991513,1052054_0.csv
78,1054721,ttm,42360.0,36042.0,6318.0,0.14915014164305948,1054721_0.csv
79,1054721,12/30/2020,47144.0,39418.0,7726.0,0.1638808756151366,1054721_0.csv
80,1054721,12/30/2019,59283.0,49187.0,10096.0,0.17030177285225107,1054721_0.csv
81,1054721,12/30/2018,73414.0,57904.0,15510.0,0.2112676056338028,1054721_0.csv
82,1056696,ttm,663643.0,297827.0,365816.0,0.5512240768003279,1056696_0.csv
83,1056696,12/30/2021,663643.0,297827.0,365816.0,0.5512240768003279,1056696_0.csv
84,1056696,12/30/2020,586372.0,269887.0,316485.0,0.5397341619313337,1056696_0.csv
85,1056696,12/30/2019,617949.0,284967.0,332982.0,0.5388502934708204,1056696_0.csv
86,1056696,12/30/2018,559157.0,240881.0,318276.0,0.56920685961188,1056696_0.csv
87,1064722,ttm,6707.0,5555.0,1152.0,0.17176084687639778,1064722_0.csv
88,1064722,12/30/2020,1628.0,1555.0,73.618,0.04484029484029484,1064722_0.csv
89,1064722,12/30/2019,-,-,-,0.0,1064722_0.csv
90,1066194,ttm,84534.0,21324.0,63210.0,0.7477464688764284,1066194_0.csv
91,1066194,6/29/2021,78287.0,19267.0,59020.0,0.7538927280391381,1066194_0.csv
92,1066194,6/29/2020,72729.0,21081.0,51648.0,0.7101431341005651,1066194_0.csv
93,1066194,6/29/2019,67232.0,21841.0,45391.0,0.6751398143741075,1066194_0.csv
94,1066194,6/29/2018,61307.0,22336.0,38971.0,0.6356696625181464,1066194_0.csv
95,1066684,ttm,0.0,117.923,117.923,0.0,1066684_0.csv
96,1066684,12/30/2020,0.0,118.16,118.16,0.0,1066684_0.csv
97,1066684,12/30/2019,0.0,177.552,177.552,0.0,1066684_0.csv
98,1066684,12/30/2018,0.0,297.439,297.439,0.0,1066684_0.csv
99,1073349,ttm,495406.0,209644.0,285762.0,0.5768238576036625,1073349_0.csv
100,1073349,6/29/2021,471403.0,196452.0,274951.0,0.5832610314317049,1073349_0.csv
101,1073349,6/29/2020,442221.0,189086.0,253135.0,0.5724174112039003,1073349_0.csv
102,1073349,6/29/2019,421962.0,182719.0,239243.0,0.5669775951388988,1073349_0.csv
103,1073349,6/29/2018,394096.0,173130.0,220966.0,0.5606907961511916,1073349_0.csv
104,1081745,ttm,11412.0,4494.0,6918.0,0.6062039957939012,1081745_0.csv
105,1081745,12/30/2020,8253.0,3263.0,4991.0,0.6046286198957954,1081745_0.csv
106,1081745,12/30/2019,2536.0,567.843,1968.0,0.7760871451104101,1081745_0.csv
107,1081745,12/30/2018,2381.0,742.405,1639.0,0.6881961360772785,1081745_0.csv
108,1082324,ttm,40.0,9438.0,9478.0,-234.95,1082324_0.csv
109,1082324,12/30/2020,302636.0,90101.0,212535.0,0.7022793058327496,1082324_0.csv
110,1082324,12/30/2019,85.0,-,-,0.0,1082324_0.csv
111,1082324,12/30/2018,63.0,0.0,63.0,1.0,1082324_0.csv
112,1084048,ttm,1416722.0,188053.0,1228669.0,0.8672618904767484,1084048_0.csv
113,1084048,12/30/2021,1416722.0,188053.0,1228669.0,0.8672618904767484,1084048_0.csv
114,1084048,12/30/2020,1489593.0,231782.0,1257811.0,0.8443991076757208,1084048_0.csv
115,1084048,12/30/2019,1372054.0,237323.0,1134731.0,0.8270308603014167,1084048_0.csv
116,1084048,12/30/2018,1207295.0,201074.0,1006221.0,0.833450813595683,1084048_0.csv
117,1084384,ttm,65048.0,44756.0,20292.0,0.3119542491698438,1084384_0.csv
118,1084384,12/30/2020,69637.0,48954.0,20683.0,0.29701164610767267,1084384_0.csv
119,1084384,12/30/2019,62049.0,47134.0,14915.0,0.2403745427001241,1084384_0.csv
120,1084384,12/30/2018,32436.0,10330.0,22106.0,0.6815266987298064,1084384_0.csv
121,1084577,ttm,32271.0,14950.0,17321.0,0.5367357689566484,1084577_0.csv
122,1084577,12/30/2020,36388.0,14786.0,21602.0,0.5936572496427394,1084577_0.csv
123,1084577,12/30/2019,38391.0,15557.0,22834.0,0.5947748170144044,1084577_0.csv
124,1084577,12/30/2018,35900.0,14540.0,21360.0,0.5949860724233983,1084577_0.csv
125,1092699,ttm,385276.0,131678.0,253598.0,0.6582242340555862,1092699_0.csv
126,1092699,12/30/2021,385276.0,131678.0,253598.0,0.6582242340555862,1092699_0.csv
