Company, CIK, Filing form type, Year, Quarter, Filing date, Filelink
SNOWFLAKE INC,1640147,8K,2021,Q4,2021-12-01,1640147_8K_2021_0001640147-21-000268.htm
BOX INC,1372612,8K,2021,Q3,2021-08-01,1372612_8K_2021_0000950123-21-010413.htm
ONESPAN INC,1044777,8K,2021,Q2,2021-05-01,1044777_8K_2021_0001387131-21-006060.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q3,2021-10-01,929940_8K_2021_0001193125-21-296471.htm
BLACKLINE INC,1666134,10Q,2020,Q4,2020-01-01,1666134_10Q_2021_0001666134-21-000013.htm
IDEANOMICS INC,837852,8K,2021,Q1,2021-04-01,837852_8K_2021_0001104659-21-046650.htm
MAX SOUND CORP,1353499,8K,2021,Q4,2021-12-01,1353499_8K_2021_0001477932-21-009223.htm
AUTOMATIC DATA PROCESSING,8670,10Q,2020,Q4,2020-01-01,8670_10Q_2021_0000008670-21-000035.htm
CDK GLOBAL INC,1609702,8K,2021,Q2,2021-06-01,1609702_8K_2021_0001609702-21-000047.htm
PROOFPOINT INC,1212458,8K,2021,Q2,2021-07-01,1212458_8K_2021_0001193125-21-223064.htm
SPS COMMERCE INC,1092699,8K,2021,Q3,2021-10-01,1092699_8K_2021_0001171843-21-007274.htm
SHARPSPRING INC,1506439,8K,2021,Q2,2021-06-01,1506439_8K_2021_0001654954-21-007185.htm
TERADATA CORP,816761,8K,2021,Q3,2021-08-01,816761_8K_2021_0000816761-21-000027.htm
ZIX CORP,855612,8K,2021,Q4,2021-11-01,855612_8K_2021_0001193125-21-323446.htm
GTY TECHNOLOGY HOLDINGS,1682325,8K,2021,Q3,2021-08-01,1682325_8K_2021_0001558370-21-010549.htm
MANHATTAN ASSOCIATES INC,1056696,10Q,2020,Q4,2020-01-01,1056696_10Q_2021_0001564590-21-022006.htm
JFROG LTD,1800667,8K,2021,Q1,2021-02-01,1800667_8K_2021_0001193125-21-045024.htm
CITRIX SYSTEMS INC,877890,10Q,2020,Q4,2020-01-01,877890_10Q_2021_0000877890-21-000271.htm
WORKDAY INC,1327811,10K,2019,Q4,2019-01-01,1327811_10K_2021_0001327811-21-000020.htm
ONESPAN INC,1044777,8K,2021,Q2,2021-05-01,1044777_8K_2021_0001387131-21-006214.htm
ZOOMINFO TECHNOLOGIES,1794515,8K,2021,Q3,2021-09-01,1794515_8K_2021_0001794515-21-000268.htm
FIVE9 INC,1288847,8K,2021,Q4,2021-11-01,1288847_8K_2021_0001288847-21-000137.htm
2U INC,1459417,8K,2021,Q2,2021-06-01,1459417_8K_2021_0001193125-21-202610.htm
MARIN SOFTWARE INC,1389002,8K,2021,Q2,2021-07-01,1389002_8K_2021_0001564590-21-039506.htm
FALCONSTOR SOFTWARE INC,922521,10Q,2020,Q4,2020-01-01,922521_10Q_2021_0001628280-21-009088.htm
NEW RELIC INC,1448056,8K,2021,Q3,2021-08-01,1448056_8K_2021_0001448056-21-000054.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q3,2021-08-01,1073349_8K_2021_0001073349-21-000101.htm
PHUNWARE INC,1665300,10Q,2020,Q4,2020-01-01,1665300_10Q_2021_0001628280-21-023228.htm
AUDIOEYE INC,1362190,10Q,2020,Q4,2020-01-01,1362190_10Q_2021_0001410578-21-000108.htm
AUTOMATIC DATA PROCESSING,8670,10Q,2019,Q4,2019-01-01,8670_10Q_2020_0000008670-21-000007.htm
MODEL N INC,1118417,10Q,2019,Q4,2019-01-01,1118417_10Q_2020_0001118417-21-000026.htm
NUANCE COMMUNICATIONS INC,1002517,10Q,2020,Q4,2020-01-01,1002517_10Q_2021_0001002517-21-000046.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q3,2021-10-01,1167419_8K_2021_0001079973-21-001053.htm
2U INC,1459417,8K,2021,Q4,2021-11-01,1459417_8K_2021_0001193125-21-324418.htm
AVALARA INC,1348036,10K,2019,Q4,2019-01-01,1348036_10K_2020_0001564590-21-008919.htm
PAYCHEX INC,723531,10K,2020,Q4,2020-01-01,723531_10K_2021_0000723531-21-000035.htm
CHANNELADVISOR CORP,1169652,10K,2019,Q4,2019-01-01,1169652_10K_2020_0001169652-21-000007.htm
AUDIOEYE INC,1362190,8K,2021,Q3,2021-09-01,1362190_8K_2021_0001104659-21-117678.htm
ZOOM TELEPHONICS INC,1467761,10Q,2020,Q4,2020-01-01,1467761_10Q_2021_0001493152-21-026929.htm
MITEK SYSTEMS INC,807863,8K,2021,Q1,2021-04-01,807863_8K_2021_0000807863-21-000059.htm
PEGASYSTEMS INC,1013857,8K,2021,Q2,2021-06-01,1013857_8K_2021_0001013857-21-000130.htm
WORKIVA INC,1445305,10Q,2020,Q4,2020-01-01,1445305_10Q_2021_0001445305-21-000074.htm
VERTEX INC,1806837,8K,2021,Q3,2021-08-01,1806837_8K_2021_0001558370-21-011220.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q4,2021-11-01,1031308_8K_2021_0001628280-21-022390.htm
COMMVAULT SYSTEMS INC,1169561,8K,2021,Q3,2021-08-01,1169561_8K_2021_0001169561-21-000034.htm
FIREEYE INC,1370880,10Q,2020,Q4,2020-01-01,1370880_10Q_2021_0001370880-21-000045.htm
RAPID7 INC,1560327,10Q,2020,Q4,2020-01-01,1560327_10Q_2021_0001560327-21-000133.htm
8X8 INC,1023731,8K,2021,Q3,2021-08-01,1023731_8K_2021_0001023731-21-000158.htm
SONIC FOUNDRY INC,1029744,10Q,2020,Q4,2020-01-01,1029744_10Q_2021_0001437749-21-019692.htm
ZOOM VIDEO COMUNICATIONS INC,1585521,8K,2021,Q4,2021-11-01,1585521_8K_2021_0001585521-21-000292.htm
DOCUSIGN INC,1261333,8K,2021,Q3,2021-09-01,1261333_8K_2021_0001261333-21-000159.htm
PALANTIR TECHNOLOG INC,1321655,8K,2021,Q1,2021-04-01,1321655_8K_2021_0001193125-21-105223.htm
ASANA INC,1477720,8K,2021,Q4,2021-11-01,1477720_8K_2021_0001477720-21-000057.htm
NUANCE COMMUNICATIONS INC,1002517,8K,2021,Q1,2021-02-01,1002517_8K_2021_0001193125-21-031704.htm
OKTA INC,1660134,10Q,2020,Q4,2020-01-01,1660134_10Q_2021_0001660134-21-000020.htm
GSE SYSTEMS INC,944480,8K,2021,Q3,2021-08-01,944480_8K_2021_0001140361-21-028471.htm
AWARE INC,1015739,10Q,2020,Q4,2020-01-01,1015739_10Q_2021_0001564590-21-052320.htm
BRIDGELINE DIGITAL INC,1378590,8K,2021,Q1,2021-02-01,1378590_8K_2021_0001437749-21-001812.htm
SHARPSPRING INC,1506439,8K,2021,Q1,2021-04-01,1506439_8K_2021_0001654954-21-004967.htm
SAILPOINT TECHNO HLDG,1627857,8K,2021,Q3,2021-08-01,1627857_8K_2021_0001627857-21-000044.htm
BOX INC,1372612,8K,2021,Q2,2021-06-01,1372612_8K_2021_0001387131-21-006334.htm
ZOOM TELEPHONICS INC,1467761,10Q,2020,Q4,2020-01-01,1467761_10Q_2021_0001493152-21-019919.htm
BENEFITFOCUS INC,1576169,8K,2021,Q2,2021-07-01,1576169_8K_2021_0001193125-21-206476.htm
ZOOM TELEPHONICS INC,1467761,8K,2021,Q1,2021-03-01,1467761_8K_2021_0001654954-21-002478.htm
J2 GLOBAL INC,1084048,10Q,2020,Q4,2020-01-01,1084048_10Q_2021_0001084048-21-000032.htm
ORACLE CORP,1341439,8K,2021,Q1,2021-03-01,1341439_8K_2021_0001193125-21-092631.htm
ECOARK HOLDINGS INC,1437491,8K,2021,Q4,2021-11-01,1437491_8K_2021_0001213900-21-059320.htm
CROWDSTRIKE HOLDINGS INC,1535527,8K,2021,Q1,2021-03-01,1535527_8K_2021_0001104659-21-035670.htm
AGILYSYS INC,78749,10K,2019,Q4,2019-01-01,78749_10K_2021_0001564590-21-029319.htm
PROGRESS SOFTWARE CORP,876167,8K,2021,Q4,2021-11-01,876167_8K_2021_0000876167-21-000157.htm
ZOOMINFO TECHNOLOGIES,1794515,8K,2021,Q3,2021-08-01,1794515_8K_2021_0001794515-21-000192.htm
ASPEN TECHNOLOGY INC,929940,8K,2021,Q4,2021-12-01,929940_8K_2021_0000929940-21-000086.htm
ZUORA INC,1423774,8K,2020,Q4,2020-01-01,1423774_8K_2021_0001423774-21-000007.htm
ENVESTNET INC,1337619,10K,2020,Q4,2020-01-01,1337619_10K_2020_0001628280-21-003457.htm
BLACKLINE INC,1666134,8K,2021,Q2,2021-05-01,1666134_8K_2021_0001171843-21-003259.htm
TENABLE HOLDINGS INC,1660280,10Q,2020,Q4,2020-01-01,1660280_10Q_2021_0001660280-21-000054.htm
XPERI HOLDING CORP,1803696,8K,2021,Q2,2021-05-01,1803696_8K_2021_0001564590-21-024070.htm
EVERBRIDGE INC,1437352,10K,2019,Q4,2019-01-01,1437352_10K_2020_0001564590-21-009422.htm
FIREEYE INC,1370880,8K,2021,Q2,2021-06-01,1370880_8K_2021_0001104659-21-075725.htm
RIOT BLOCKCHAIN INC,1167419,8K,2021,Q4,2021-12-01,1167419_8K_2021_0001079973-21-001225.htm
MICROSTRATEGY INC,1050446,10Q,2020,Q4,2020-01-01,1050446_10Q_2021_0001564590-21-052646.htm
BENTLEY SYSTEMS INC,1031308,8K,2021,Q3,2021-08-01,1031308_8K_2021_0001628280-21-017487.htm
EVERBRIDGE INC,1437352,10Q,2020,Q4,2020-01-01,1437352_10Q_2021_0001564590-21-042684.htm
DIGITAL TURBINE INC,317788,10Q,2019,Q4,2019-01-01,317788_10Q_2020_0001628280-21-001381.htm
MARIN SOFTWARE INC,1389002,8K,2021,Q2,2021-07-01,1389002_8K_2021_0001564590-21-036633.htm
EBIX INC,814549,8K,2021,Q2,2021-05-01,814549_8K_2021_0001193125-21-149343.htm
LIVEPERSON INC,1102993,8K,2021,Q1,2021-04-01,1102993_8K_2021_0001102993-21-000076.htm
FAIR ISAAC CORP,814547,10Q,2020,Q4,2020-01-01,814547_10Q_2021_0000814547-21-000007.htm
DOCUSIGN INC,1261333,10K,2019,Q4,2019-01-01,1261333_10K_2021_0001261333-21-000059.htm
PROGRESS SOFTWARE CORP,876167,10Q,2020,Q4,2020-01-01,876167_10Q_2021_0000876167-21-000121.htm
PTC INC,857005,10K,2020,Q4,2020-01-01,857005_10K_2021_0001564590-21-057806.htm
BILL.COM HOLDINGS INC,1786352,8K,2021,Q3,2021-09-01,1786352_8K_2021_0001193125-21-278923.htm
ALTERYX INC,1689923,8K,2021,Q1,2021-02-01,1689923_8K_2021_0001689923-21-000021.htm
CIPHERLOC CORP,1022505,8K,2021,Q3,2021-10-01,1022505_8K_2021_0001493152-21-025181.htm
ALTAIR ENGINEERING INC,1701732,8K,2021,Q4,2021-11-01,1701732_8K_2021_0001564590-21-054516.htm
SOLARWINDS CORP,1739942,8K,2021,Q3,2021-08-01,1739942_8K_2021_0001739942-21-000124.htm
EBIX INC,814549,10K,2020,Q4,2020-01-01,814549_10K_2020_0001628280-21-007671.htm
DYNATRACE INC,1773383,10Q,2019,Q4,2019-01-01,1773383_10Q_2020_0001773383-21-000011.htm
8X8 INC,1023731,10Q,2020,Q4,2020-01-01,1023731_10Q_2021_0001023731-21-000243.htm
PARK CITY GROUP INC,50471,8K,2021,Q1,2021-02-01,50471_8K_2021_0001654954-21-001912.htm
PROGRESS SOFTWARE CORP,876167,8K,2021,Q1,2021-04-01,876167_8K_2021_0000876167-21-000081.htm
PALANTIR TECHNOLOG INC,1321655,10K,2019,Q4,2019-01-01,1321655_10K_2020_0001193125-21-060650.htm
PROOFPOINT INC,1212458,8K,2021,Q1,2021-02-01,1212458_8K_2021_0001564590-21-004313.htm
CLOUDFLARE INC,1477333,8K,2021,Q1,2021-02-01,1477333_8K_2021_0001477333-21-000004.htm
CLOUDERA INC,1535379,8K,2021,Q2,2021-06-01,1535379_8K_2021_0001628280-21-011393.htm
CORNERSTONE ONDEMAND INC,1401680,10K,2019,Q4,2019-01-01,1401680_10K_2020_0001401680-21-000011.htm
VERINT SYSTEMS INC,1166388,8K,2021,Q1,2021-03-01,1166388_8K_2021_0001166388-21-000026.htm
ASANA INC,1477720,10K,2019,Q4,2019-01-01,1477720_10K_2021_0001477720-21-000007.htm
SPROUT SOCIAL INC,1517375,8K,2021,Q4,2021-11-01,1517375_8K_2021_0001517375-21-000058.htm
ASANA INC,1477720,10Q,2020,Q4,2020-01-01,1477720_10Q_2021_0001477720-21-000065.htm
FIVE9 INC,1288847,10Q,2020,Q4,2020-01-01,1288847_10Q_2021_0001288847-21-000069.htm
PTC INC,857005,8K,2021,Q1,2021-02-01,857005_8K_2021_0001564590-21-005303.htm
BIGCOMMERCE HOLDIN INC,1626450,8K,2021,Q2,2021-07-01,1626450_8K_2021_0001193125-21-225066.htm
CADENCE DESIGN SYSTEMS INC,813672,8K,2021,Q2,2021-07-01,813672_8K_2021_0001193125-21-206534.htm
BLACKBOXSTOCKS INC,1567900,8K,2021,Q3,2021-08-01,1567900_8K_2021_0001437749-21-020946.htm
APPIAN CORP,1441683,8K,2021,Q2,2021-05-01,1441683_8K_2021_0001441683-21-000038.htm
BOX INC,1372612,10K,2020,Q4,2020-01-01,1372612_10K_2021_0001564590-21-014377.htm
ROCKETFUEL BLOCKCHAIN INC,823546,8K,2021,Q4,2021-11-01,823546_8K_2021_0001493152-21-027345.htm
SALESFORCE.COM INC,1108524,8K,2021,Q2,2021-06-01,1108524_8K_2021_0001108524-21-000033.htm
JAMF HOLDING CORP,1721947,10Q,2020,Q4,2020-01-01,1721947_10Q_2021_0001628280-21-023008.htm
BOTTOMLINE TECHNOLOGIES INC,1073349,8K,2021,Q1,2021-02-01,1073349_8K_2021_0001073349-21-000016.htm
MIX TELEMATICS LTD,1576914,10Q,2020,Q4,2020-01-01,1576914_10Q_2021_0001628280-21-015706.htm
PALO ALTO NETWORKS INC,1327567,8K,2021,Q4,2021-11-01,1327567_8K_2021_0001327567-21-000037.htm
UNITY SOFTWARE INC,1810806,8K,2021,Q1,2021-02-01,1810806_8K_2021_0001810806-21-000011.htm
MICROSTRATEGY INC,1050446,8K,2021,Q2,2021-06-01,1050446_8K_2021_0001193125-21-185538.htm
SUMO LOGIC INC,1643269,8K,2021,Q1,2021-02-01,1643269_8K_2021_0001643269-21-000002.htm
ZSCALER INC,1713683,8K,2021,Q3,2021-09-01,1713683_8K_2021_0001713683-21-000155.htm
NCINO INC,1566895,8K,2021,Q1,2021-03-01,1566895_8K_2021_0001566895-21-000005.htm
NEW RELIC INC,1448056,8K,2020,Q4,2020-01-01,1448056_8K_2021_0001448056-21-000003.htm
DYNATRACE INC,1773383,8K,2021,Q4,2021-11-01,1773383_8K_2021_0001773383-21-000118.htm
INTUIT INC,896878,8K,2021,Q1,2021-02-01,896878_8K_2021_0000896878-21-000049.htm
A10 NETWORKS INC,1580808,10Q,2020,Q4,2020-01-01,1580808_10Q_2021_0001580808-21-000114.htm
