Unnamed: 0,Unnamed: 0.1,cik,date,Total Revenue,filenames,Number of customers,MRR,ARR,ARPU,Churn,CRR,MRR Expansion,Number of qualified leads,Penetration Rate,LTV,quater_year,url,year_month,Sales and Marketing,CAC,CAC payback,Gross Margin,quater_year_string
0,0,1001601,ttm,931.0,1001601_0.csv,646.0,310.3333333333333,3724.0,5.764705882352941,0.04579025110782865,0.9542097488921714,2.815573770491804,2.1663757998836525e-05,5.936048723381968e-07,125.89373814041748,"('-1', 'ttm')",,2021-ttm,0,,,-7.733619763694953,"-1,ttm"
1,1,1001601,9/29/2021,244.0,1001601_0.csv,677.0,81.33333333333333,976.0,1.4416543574593796,0.0,1.0,-0.0,6.707488883849109e-06,6.594584063900253e-07,inf,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1001601/000149315221028042/Financial_Report.xlsx,2021-09,0,,,-8.196721311475411,"Q3,2021"
2,2,1001601,6/29/2021,244.0,1001601_0.csv,677.0,81.33333333333333,976.0,1.4416543574593796,0.16728167281672818,0.8327183271832719,-0.16723549488054618,6.707488883849109e-06,6.594584063900253e-07,8.618124945694673,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1001601/000149315221020358/Financial_Report.xlsx,2021-06,0,-0.0,-0.0,2.8688524590163933,"Q2,2021"
3,3,1001601,3/30/2021,293.0,1001601_0.csv,813.0,97.66666666666669,1172.0,1.4415744157441577,-0.9543269230769232,1.9543269230769231,0.9533333333333336,8.054484602327004e-06,7.919345412039742e-07,-1.5105666421903514,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1001601/000149315221012749/Financial_Report.xlsx,2021-03,0,0.0,0.0,14.675767918088734,"Q1,2021"
4,4,1001601,12/30/2020,150.0,1001601_0.csv,416.0,50.0,600.0,1.4423076923076923,,,,4.971579139253932e-06,4.2579324462640735e-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1001601/000149315221008913/Financial_Report.xlsx,2020-12,0,,,-68.0,"Q4,2020"
5,5,1013462,ttm,1906715.0,1013462_0.csv,2200.0,635571.6666666665,7626860.0,3466.754545454545,0.2729676140118969,0.7270323859881032,1.90805393591564,0.04436800465386853,2.021564580718317e-06,12700.241228263265,"('-1', 'ttm')",,2021-ttm,0,,,86.46971361739956,"-1,ttm"
6,6,1013462,12/30/2021,655667.0,1013462_0.csv,3026.0,218555.66666666663,2622668.0,866.711169861203,-0.4862475442043222,1.4862475442043217,0.4862070685090487,0.01802409472953563,2.9475939996103638e-06,-1782.4484260983932,"('Q4', '2021')",,2021-12,0,0.0,0.0,89.47987316732426,"Q4,2021"
7,7,1013462,9/29/2021,441168.0,1013462_0.csv,2036.0,147056.0,1764672.0,866.7347740667976,0.0121300339640951,0.9878699660359048,-0.01228243786017806,0.012127579737335834,1.9832456653029416e-06,71453.6147740668,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1013462/000101346221000048/Financial_Report.xlsx,2021-09,0,-0.0,-0.0,85.77730025749828,"Q3,2021"
8,8,1013462,6/29/2021,446654.0,1013462_0.csv,2061.0,148884.66666666663,1786616.0,866.8685104318292,-0.2297136038186157,1.2297136038186158,0.2296862008776905,0.012278388278388279,2.007597895967271e-06,-3773.69252852921,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1013462/000101346221000039/Financial_Report.xlsx,2021-06,0,0.0,0.0,85.63586131547014,"Q2,2021"
9,9,1013462,3/30/2021,363226.0,1013462_0.csv,1676.0,121075.33333333331,1452904.0,866.8878281622913,0.4176511466296039,0.5823488533703961,-0.4176139916560577,0.009984976874282693,1.6325735437366062e-06,2075.626596881093,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1013462/000101346221000017/Financial_Report.xlsx,2021-03,0,-0.0,-0.0,82.90238033620942,"Q1,2021"
10,10,1013462,12/30/2020,623686.0,1013462_0.csv,2878.0,207895.33333333328,2494744.0,866.8325225851288,,,,0.02067136204696485,2.9457523029682707e-06,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1013462/000101346221000009/Financial_Report.xlsx,2020-12,0,,,89.11263039414067,"Q4,2020"
