,Unnamed: 0,Unnamed: 0.1,cik,date,Total Revenue,filenames,Number of customers,MRR,ARR,ARPU,Churn,CRR,MRR Expansion,Number of qualified leads,Penetration Rate,LTV,quater_year,url,year_month,Sales and Marketing,CAC,CAC payback,Gross Margin,quater_year_string,CAC payback period,ASP,LTV : CAC ratio,Total Assets,Total Liabilities Net Minority Interest,debt ratio,Total Equity Gross Minority Interest,Total Debt,Common Stock Equity,Total Capitalization,Shareholder Equity,Private Shareholding,Public Shareholding
0,0,0,1001601,ttm,931,1001601_0.csv,646,310.3333333,3724,5.764705882,0.045790251,0.954209749,2.81557377,2.17E-05,5.94E-07,125.8937381,"('-1', 'ttm')",,2021-ttm,0,,,-7.733619764,"-1,ttm",,4.323051525,,,,,,,,,,,
1,1,1,1001601,9/29/2021,244,1001601_0.csv,677,81.33333333,976,1.441654357,0,1,0,6.71E-06,6.59E-07,inf,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1001601/000149315221028042/Financial_Report.xlsx,2021-09,0,,,-8.196721311,"Q3,2021",,0,,2703,2290,0.847206807,413,39,413,413,413,1,0
2,2,2,1001601,6/29/2021,244,1001601_0.csv,677,81.33333333,976,1.441654357,0.167281673,0.832718327,-0.167235495,6.71E-06,6.59E-07,8.618124946,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1001601/000149315221020358/Financial_Report.xlsx,2021-06,0,0,0,2.868852459,"Q2,2021",0,7.99E-05,#NAME?,2279,1797,0.78850373,482,286,482,482,482,1,0
3,3,3,1001601,3/30/2021,293,1001601_0.csv,813,97.66666667,1172,1.441574416,-0.954326923,1.954326923,0.953333333,8.05E-06,7.92E-07,-1.510566642,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1001601/000149315221012749/Financial_Report.xlsx,2021-03,0,0,0,14.67576792,"Q1,2021",0,-0.000733277,#NAME?,2933,2023,0.68973747,910,118,910,910,910,1,0
4,4,4,1001601,12/30/2020,150,1001601_0.csv,416,50,600,1.442307692,,,,4.97E-06,4.26E-07,,"('Q4', '2020')",https://www.sec.gov/Archives/edgar/data/1001601/000149315221008913/Financial_Report.xlsx,2020-12,0,,,-68,"Q4,2020",,NaN,,2301,1810,0.786614515,491,61,491,491,491,1,0
5,5,5,1013462,ttm,1906715,1013462_0.csv,2200,635571.6667,7626860,3466.754545,0.272967614,0.727032386,1.908053936,0.044368005,2.02E-06,12700.24123,"('-1', 'ttm')",,2021-ttm,0,,,86.46971362,"-1,ttm",,2600.043376,,,,,,,,,,,
6,6,6,1013462,12/30/2021,655667,1013462_0.csv,3026,218555.6667,2622668,866.7111699,-0.486247544,1.486247544,0.486207069,0.018024095,2.95E-06,-1782.448426,"('Q4', '2021')",,2021-12,0,0,0,89.47987317,"Q4,2021",0,-0.023604206,#NAME?,6324314,1840266,0.290982706,4484048,857954,4484048,5237624,4484048,0.856122547,0.143877453
7,7,7,1013462,9/29/2021,441168,1013462_0.csv,2036,147056,1764672,866.7347741,0.012130034,0.987869966,-0.012282438,0.01212758,1.98E-06,71453.61477,"('Q3', '2021')",https://www.sec.gov/Archives/edgar/data/1013462/000101346221000048/Financial_Report.xlsx,2021-09,0,0,0,85.77730026,"Q3,2021",0,-0.133736365,#NAME?,5974752,1635508,0.27373655,4339244,856293,4339244,5092695,4339244,0.852052597,0.147947403
8,8,8,1013462,6/29/2021,446654,1013462_0.csv,2061,148884.6667,1786616,866.8685104,-0.229713604,1.229713604,0.229686201,0.012278388,2.01E-06,-3773.692529,"('Q2', '2021')",https://www.sec.gov/Archives/edgar/data/1013462/000101346221000039/Financial_Report.xlsx,2021-06,0,0,0,85.63586132,"Q2,2021",0,-0.01931773,#NAME?,5890772,1640554,0.278495586,4250218,861534,4250218,5003545,4250218,0.849441346,0.150558654
9,9,9,1013462,3/30/2021,363226,1013462_0.csv,1676,121075.3333,1452904,866.8878282,0.417651147,0.582348853,-0.417613992,0.009984977,1.63E-06,2075.626597,"('Q1', '2021')",https://www.sec.gov/Archives/edgar/data/1013462/000101346221000017/Financial_Report.xlsx,2021-03,0,0,0,82.90238034,"Q1,2021",0,0.055305577,#NAME?,5818028,1706059,0.293236643,4111969,907657,4111969,4905484,4111969,0.838239203,0.161760797
