Filing,text,Section heading,Polarity score,sentiment label
1441816_10K_2021_0001441816-21-000051.htm,"MongoDB is the leading modern, general purpose database platform. Our robust platform enables developers to build and modernize applications rapidly and costeffectively. Organizations can deploy our platform at scale in the cloud, onpremise, or in a hybrid environment.",item_1,0.0416666666666666,neutral
1441816_10K_2021_0001441816-21-000051.htm,"Our operations and financial results are subject to various risks and uncertainties including those described below. If any of the following risks or others not specified below materialize, our business, financial condition and results of operations could be materially and adversely affected. The trading price of our Class A common stock could decline.",item_1A,-0.1185185185185185,bad
1441816_10K_2021_0001441816-21-000051.htm,None. Item 1B. Unresolved Staff CommentsNone.,item_1B,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,We lease all of our facilities and do not own any real property. We intend to procure additional space in the future as we continue to add employees and expand geographically.,item_2,-0.0249999999999999,neutral
1441816_10K_2021_0001441816-21-000051.htm,"The information required to be set forth under this Item 3 is incorporated by reference to Note 8, Commitments and Contingencies of the Notes to Consolidated Financial Statements included in this Annual Report on Form 10K.",item_3,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,Not applicable. Item 4. Mine Safety Disclosures not applicable.,item_4,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,"MongoDB, Inc. has two classes of common stock, Class A and Class B. Class A common stock is traded on The Nasdaq Global Market the Nasdaq under the symbol MDB. On June 11, 2020, all outstanding shares of the Companys Class B common stock automatically converted into the same number of shares of Class Acommon stock.",item_5,-0.1277777777777777,bad
1441816_10K_2021_0001441816-21-000051.htm,"Part II, Item 6 is no longer required as the Company has elected to early adopt the changes to Item 301 of Regulation SK contained in SEC Release No. 3310890. Item 6. Selected Financial Data.",item_6,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,"MongoDB is the leading modern, general purpose database platform. Our robust platform enables developers to build and modernize applications rapidly and costeffectively across a broad range of use cases. Organizations can deploy our platform at scale in the cloud, onpremise, or in a hybrid environment.",item_7,0.0625,good
1441816_10K_2021_0001441816-21-000051.htm,"The uncertainty that exists with respect to the global economic impact of the ongoing COVID19 pandemic has introduced significant volatility in the financial markets. Our investments are exposed to market risk due to a fluctuation in interest rates, which may affect our interest income and the fair market value of our investments. The Company could experience additional volatility to our consolidated statements of operations due to observable price changes and impairments.",item_7A,0.1020833333333333,good
1441816_10K_2021_0001441816-21-000051.htm,"MongoDB, Inc. filed a Form 10K for the Fiscal Year Ended January 31, 2021. The company's financial statements and internal control over financial reporting were audited.",item_8,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,None. Item 9. Changes in and Disagreements with Accountants on Accounting and Financial DisclosureNone.,item_9,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,"We maintain disclosure controls and procedures to ensure that information required to be disclosed by a company in the reports that it files or submits under the Exchange Act is recorded, processed, summarized and reported within the time periods specified in the SECs rules and forms. Our management conducted an evaluation of the effectiveness of our internal control over financial reporting as of January 31, 2021 based on the criteria established in Internal Control Integrated Framework 2013.",item_9A,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,None. Item 9B. Other InformationNone.,item_9B,-0.0416666666666666,neutral
1441816_10K_2021_0001441816-21-000051.htm,"The information required by this Item will be included in the 2021 Proxy Statement to be filed with the SEC within 120 days after the end of our fiscal year ended January 31, 2021. We have adopted a Code of Business Conduct and Ethics the Code of Conduct, applicable to all of our employees, executive officers and directors. The Code of conduct is available on our website at investors.mongodb.com.",item_10,0.1,good
1441816_10K_2021_0001441816-21-000051.htm,The information required by this Item will be included in the 2021 Proxy Statement and is incorporated herein by reference. Item 11. Executive Compensation.,item_11,0.0,neutral
1441816_10K_2021_0001441816-21-000051.htm,The information required by this Item will be included in the 2021 Proxy Statement and is incorporated herein by reference. Item 12. Security Ownership of Certain Beneficial Owners and Management and Related Stockholder Matters.,item_12,0.0357142857142857,neutral
